Title,Extracted Content,city
小龙虾,堕落小龙虾(石岩金三角店),深圳
小龙虾,虾道.香辣蟹.海鲜(星海名城店),深圳
小龙虾,胖哥龙虾馆(华宁路店),深圳
小龙虾,2046湘味厨房(科技园海王店),深圳
小龙虾,瓦房食代·四合院湘菜馆(坂田店),深圳
小龙虾,红盔甲·小龙虾(白石洲店),深圳
小龙虾,水哥羊肉馆·烧烤-团建(观澜店),深圳
小龙虾,融汇天湘·霸王龙虾(坪地店),深圳
小龙虾,石锅鱼大排档·小龙虾(横岗店),深圳
小龙虾,食尚码头(南环路店),深圳
小龙虾,野迹·石橄榄鸡·烧烤(新洲店),深圳
鱼鲜,79号渔船海鲜饭店(岗厦店),深圳
鱼鲜,登喜路国际大酒店·柏顿餐厅(西乡店),深圳
鱼鲜,安蒂娅·海鲜自助餐厅(安蒂娅美兰酒店店),深圳
鱼鲜,松哥油焖大虾(龙华壹方天地店),深圳
鱼鲜,怡聚轩全日制自助餐厅(大中华喜来登酒店),深圳
鱼鲜,虾道.香辣蟹.海鲜(星海名城店),深圳
鱼鲜,粤菜王府·海鲜·茶市(平安金融中心店),深圳
鱼鲜,蚝味轩·生蚝海鲜烧烤小馆(水围店),深圳
鱼鲜,就是啫•顺德菜(购物公园店),深圳
鱼鲜,吴记海鲜大排档(罗湖店),深圳
鱼鲜,天天渔港·粤式海鲜酒楼(福田店),深圳
鱼鲜,深圳温德姆至尊酒店·趣味·全日制自助西餐,深圳
鱼鲜,唐宫(彩德店),深圳
鱼鲜,万荟轩餐厅·海鲜自助·中餐(深圳联投东方万怡酒店),深圳
鱼鲜,79号渔船海鲜饭店(笋岗店),深圳
烧烤烤串,通海俄式烧烤(深圳旗舰店),深圳
烧烤烤串,牛吉炭火烧(沙井店),深圳
烧烤烤串,白玉串城·朝鲜族烤串(西乡店),深圳
烧烤烤串,纳瓦新疆音乐餐厅(龙华店),深圳
烧烤烤串,犀先生·烧肉(卓悦INTOWN店),深圳
烧烤烤串,李小太·烧烤(上川路店),深圳
烧烤烤串,肉祭烧肉一番(万科里店),深圳
烧烤烤串,大梅沙京基洲际行政俱乐部蔚蓝阁餐,深圳
烧烤烤串,日本烧肉吉之兆KITCHO(吉祥店),深圳
烧烤烤串,海极鲜·海鲜·烧烤(皇岗店),深圳
烧烤烤串,江味龙虾馆(南山店),深圳
烧烤烤串,蚝老板生蚝海鲜烧烤(码头店),深圳
烧烤烤串,二把手烧烤·团建聚餐(西丽店),深圳
烧烤烤串,姜虎东白丁烤肉(壹方城店),深圳
烧烤烤串,燚青春东北泥炉烤肉(百合店),深圳
烧烤烤串,燃YEONSO韩式烤肉馆(清湖地铁站店),深圳
烧烤烤串,李小太·烧烤(西乡天虹店),深圳
烧烤烤串,板凳地摊烤肉(上梅林店),深圳
烧烤烤串,GOGIYA韩国传统烤肉(盐田壹海城店),深圳
烧烤烤串,白玉串城·朝鲜族烤串(南山店),深圳
烧烤烤串,丹东特色烤肉(翻身店),深圳
烧烤烤串,大馥 · 烧肉丼饭(万象天地店),深圳
烧烤烤串,木屋烧烤(东门一店),深圳
烧烤烤串,牛角烧肉(福田COCOPark店),深圳
烧烤烤串,黑旨烧肉(万象天地店),深圳
烧烤烤串,韩鲜生·韩式自助烤肉火锅(海雅缤纷城店),深圳
烧烤烤串,丹东特色烤肉(学府路一部店),深圳
烧烤烤串,二把手烧烤·团建聚餐(白石洲店),深圳
烧烤烤串,悟能八戒烤肉(布吉老街店),深圳
烧烤烤串,胡哥烤肥牛(南山枫叶店),深圳
烧烤烤串,嘻游记·厚切烤肉(壹方城店),深圳
烧烤烤串,巴汗羊肉串烧烤店,深圳
烧烤烤串,李记湛光蚝莊(白石洲总店),深圳
烧烤烤串,嘻游记·厚切烤肉(壹城中心店),深圳
烧烤烤串,不二田螺煲·柳州排档(梅林店),深圳
烧烤烤串,大無烧肉(卓悦中心店),深圳
烧烤烤串,肆拾壹號烤肉(龙岗店),深圳
烧烤烤串,拉蒂娜·巴西牛排馆 Latina·Brazilian Steakhouse(海...,深圳
烧烤烤串,白玉串城·朝鲜族烤串(龙华民治店),深圳
烧烤烤串,燚青春东北泥炉烤肉(坪洲总店),深圳
烧烤烤串,木屋烧烤(福田皇岗村店),深圳
烧烤烤串,青松宇大汗·碳烤羊腿(民治店),深圳
烧烤烤串,車记碳烤肥牛·团建聚餐(坪洲店),深圳
烧烤烤串,木屋烧烤(翻身路店),深圳
烧烤烤串,天台上见烧烤(白石洲店),深圳
